Half,time,team,player,event,against,notes
1,1.36,1,Mike,3pt_attempt,,
1,1.39,0,tyriq,dreb,,
1,1.45,0,joey,assist,,
1,1.47,0,tyriq,3pt_made,,
1,2.01,0,tyriq,steal,,
1,2.05,0,tyriq,2pt_made,,highlight... dom is hilarious. 
1,2.20,1,Mike,2pt_attempt,,
1,2.34,0,tyriq,turnover,,
1,2.38,1,X,steal,,
1,2.49,1,0,3pt_attempt,,
1,2.50,0,joey,dreb,,
1,2.58,0,pope,3pt_attempt,,
1,3.14,1,0,2pt_attempt,,
1,3.15,0,joey,dreb,,
1,3.20,0,joey,3pt_attempt,,
1,3.21,0,pope,oreb,,
1,3.22,0,eman,3pt_attempt,,
1,3.41,1,X,2pt_attempt,,
1,3.42,0,eman,dreb,,good defense
1,3.51,0,tyriq,3pt_attempt,,
1,3.55,1,0,3pt_made,,
1,4.13,0,pope,3pt_attempt,,
1,4.20,1,Mike,3pt_attempt,,
1,4.21,1,0,oreb,,
1,4.22,1,Q,assist,,
1,4.23,1,0,2pt_made,,
1,4.31,0,nick,3pt_attempt,,
1,4.36,0,tyriq,assist,,
1,4.38,0,joey,2pt_made,,
1,5.02,1,X,2pt_made,,
1,5.11,0,eman,assist,,
1,5.12,0,tyriq,2pt_made,,
1,5.33,1,33,3pt_made,,
1,5.42,0,nick,2pt_attempt,,
1,5.52,1,Mike,2pt_made,,
1,6.02,0,tyriq,assist,,
1,6.03,0,eman,3pt_made,,
1,6.33,1,Q,3pt_made,,
1,6.50,0,joey,3pt_attempt,,
1,7.05,1,0,3pt_attempt,,
1,7.06,0,joey,dreb,,
1,7.07,0,eman,assist,,
1,7.08,0,tyriq,3pt_made,,
1,7.35,1,X,2pt_made,,hell of a shot
1,7.43,0,tyriq,2pt_made,,
1,7.53,1,X,2pt_attempt,,
1,7.54,0,joey,dreb,,
1,8.26,0,joey,assist,,
1,8.27,0,eman,3pt_made,,
1,8.37,1,33,3pt_attempt,,
1,8.38,0,joey,dreb,,
1,8.45,0,tyriq,turnover,,
1,8.49,0,nick,steal,,tough call. might be eman
1,8.53,0,joey,assist,,highlight HERE
1,8.54,0,eman,3pt_made,,
1,9.06,1,Mike,3pt_made,,
1,9.17,1,nick,3pt_attempt,,
1,9.22,1,Q,3pt_attempt,,
1,9.23,0,pope,dreb,,
1,9.29,0,tyriq,turnover,,
1,9.51,1,0,3pt_attempt,,
1,9.52,0,dom,dreb,,
1,10.03,0,dom,turnover,,
1,10.21,1,Q,2pt_made,,
1,10.34,0,dom,assist,,
1,10.35,0,tyriq,3pt_made,,
1,10.42,1,0,3pt_attempt,,
1,10.45,0,dom,dreb,,
1,10.50,0,nick,assist,,
1,10.51,0,dom,3pt_made,,highlight. chosen is hilarious
1,11.09,1,X,3pt_attempt,,
1,11.10,0,nick,dreb,,
1,11.14,0,nick,2pt_made,,highlight coast to coast
1,11.24,0,tyriq,steal,,
1,11.29,0,pope,turnover,,would have been fucking cool
1,11.30,1,X,dreb,,
1,11.37,1,X,2pt_made,,
1,11.49,0,eman,3pt_attempt,,heat check
1,12.01,1,X,turnover,,
1,12.12,0,tyriq,3pt_attempt,,
1,12.13,0,pope,oreb,,
1,12.22,0,tyriq,3pt_attempt,,
1,12.28,1,Mike,3pt_attempt,,
1,12.33,0,pope,dreb,,
1,12.45,0,nick,3pt_attempt,,
1,12.56,0,tyriq,steal,,
1,13.02,0,tyriq,2pt_attempt,,
1,13.03,0,dom,oreb,,
1,13.04,0,dom,2pt_made,,
1,14.19,1,Mike,3pt_attempt,,
1,14.20,0,tyriq,dreb,,
1,14.25,0,eman,2pt_made,,highlight
1,14.39,1,0,2pt_made,,
1,14.49,0,tyriq,turnover,,bad call. really bad
1,15.13,1,X,3pt_made,,
1,15.25,0,nick,2pt_made,,
1,15.26,0,eman,oreb,,
1,15.29,0,eman,3pt_attempt,,
1,15.33,0,tyriq,oreb,,
1,15.37,0,dom,3pt_made,,
1,15.48,0,0,3pt_made,,
1,16.06,0,dom,foul,,offensive- bad call
