half,time,team,player,event,against,notes
1,0:00:00,off in public,ev,checked_in,,
1,0:00:00,off in public,dylan,checked_in,,
1,0:00:00,off in public,kelo,checked_in,,
1,0:00:00,off in public,ryan,checked_in,,
1,0:00:00,off in public,Jeff,checked_in,,
1,0:12:00,let it fly,mike,3pt_attempt,ev,
1,0:12:00,off in public,ev,block,,
1,0:13:00,off in public,kelo,dreb,,
1,0:18:00,off in public,kelo,3pt_attempt,,
1,0:22:00,off in public,ryan,oreb,,
1,0:23:00,off in public,jeff,2pt_made,,
1,0:34:00,let it fly,pete,2pt_attempt,dylan,
1,0:35:00,off in public,ev,dreb,,
1,0:45:00,off in public,dylan,3pt_attempt,,
1,1:22:00,let it fly,13,2pt_attempt,ryan,
1,1:23:00,off in public,ryan,dreb,,
1,1:27:00,off in public,ryan,turnover,,
1,1:41:00,off in public,dylan,steal,,
1,1:44:00,off in public,ev,2pt_made,,
1,1:58:00,let it fly,13,3pt_attempt,ryan,
1,1:59:00,off in public,dylan,dreb,,
1,2:28:00,off in public,ev,2pt_attempt,,
1,2:31:00,let it fly,mike,dreb,,
1,2:37:00,let it fly,pete,2pt_made,dylan,
1,2:51:00,off in public,ryan,3pt_attempt,,
1,2:52:00,let it fly,mike,dreb,,
1,3:08:00,let it fly,pete,2pt_attempt,dylan,
1,3:09:00,off in public,jeff,dreb,,
1,3:10:00,off in public,jeff,turnover,,
1,3:10:00,let it fly,13,steal,,
1,3:16:00,let it fly,carl,3pt_attempt,kelo,
1,3:17:00,off in public,ryan,dreb,,
1,3:23:00,off in public,ev,2pt_made,,
1,3:30:00,off in public,dylan,foul,,
1,3:47:00,let it fly,pete,3pt_attempt,dylan,
1,3:48:00,off in public,ryan,dreb,,
1,3:57:00,off in public,kelo,3pt_attempt,,
1,3:59:00,let it fly,pete,dreb,,
1,4:19:00,off in public,ryan,checked_out,,
1,4:19:00,off in public,pope,checked_in,,
1,4:32:00,let it fly,13,ft_attempt,,
1,4:39:00,off in public,dylan,checked_out,,
1,4:39:00,off in public,eman,checked_in,,
1,4:49:00,let it fly,13,ft_made,,
1,5:01:00,off in public,kelo,2pt_attempt,,
1,5:02:00,let it fly,pete,dreb,,
1,5:13:00,let it fly,mike,3pt_attempt,ev,
1,5:17:00,off in public,kelo,dreb,,
1,5:21:00,off in public,jeff,3pt_attempt,,
1,5:23:00,let it fly,mike,dreb,,
1,5:30:00,let it fly,pete,2pt_made,eman,
1,5:31:00,off in public,ev,foul,,
1,6:05:00,off in public,jeff,checked_out,,
1,6:05:00,off in public,joey,checked_in,,
1,6:09:00,let it fly,pete,ft_attempt,,
1,6:18:00,off in public,kelo,3pt_attempt,,
1,6:18:00,let it fly,mike,dreb,,
1,6:23:00,let it fly,9,3pt_made,joey,
1,6:35:00,off in public,kelo,turnover,,
1,6:53:00,let it fly,13,turnover,,
1,6:54:00,off in public,ev,steal,,
1,7:03:00,off in public,pope,assist,,
1,7:04:00,off in public,eman,2pt_made,,
1,7:28:00,off in public,eman,ft_made,,
1,7:40:00,let it fly,pete,3pt_attempt,joey,
1,7:41:00,off in public,pope,dreb,,
1,7:49:00,off in public,ev,3pt_attempt,,
1,7:52:00,off in public,eman,oreb,,
1,7:53:00,off in public,eman,turnover,,
1,7:54:00,let it fly,pete,steal,,
1,7:55:00,let it fly,pete,2pt_attempt,joey,
1,7:56:00,off in public,ev,dreb,,
1,8:00:00,off in public,eman,turnover,,travel
1,8:20:00,let it fly,carl,2pt_made,eman,
1,8:29:00,off in public,joey,3pt_made,,
1,9:00:00,let it fly,carl,2pt_made,pope,
1,9:12:00,off in public,kelo,3pt_made,,
1,9:30:00,off in public,joey,foul,,
1,9:50:00,let it fly,pete,ft_made,,
1,10:00:00,let it fly,pete,ft_made,,
1,10:15:00,off in public,eman,2pt_made,,
1,10:27:00,off in public,joey,charge,,
1,10:33:00,off in public,pope,checked_out,,
1,10:33:00,off in public,ryan,checked_in,,
1,10:48:00,off in public,kelo,2pt_made,,
1,11:04:00,let it fly,13,2pt_made,eman,
1,11:16:00,off in public,joey,3pt_attempt,,
1,11:17:00,let it fly,13,dreb,,
1,11:42:00,let it fly,pete,2pt_made,ev,
1,11:53:00,off in public,eman,2pt_attempt,,
1,11:54:00,let it fly,9,dreb,,
1,12:00:00,let it fly,9,3pt_made,kelo,
1,12:05:00,off in public,---,timeout,,
