player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
chris,12,6,4,6,0,0,0,0,0.6,0.6,1,5,5,4,0,3,16
kelo,6,2,1,3,7,0,0,0,0.2727272727272727,0.2727272727272727,1,1,1,0,0,2,1.2307692307692308
tc,26,6,6,6,5,4,0,2,0.5714285714285714,0.6190476190476191,4,2,2,3,0,1,10
evan,12,3,1,6,4,0,0,0,0.5454545454545454,0.5454545454545454,0,3,1,1,2,1,12.666666666666666
dylan,10,5,0,2,2,2,0,0,0.8333333333333334,0.8333333333333334,2,3,1,0,0,2,12.8
pope,2,7,2,1,1,0,0,0,0.25,0.25,2,5,3,0,1,1,16
riqq,15,5,4,3,4,3,0,0,0.5357142857142857,0.5357142857142857,1,4,0,2,1,2,8
chosen,0,6,0,0,1,0,0,0,0,0,3,3,2,0,0,0,56
dom,4,11,3,2,2,0,0,0,0.2857142857142857,0.2857142857142857,4,7,3,1,0,0,18.285714285714285
ryan,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
